,df_final_title,index_df_final,my_db_title,index_my_db,fuzzy_value,edited
1036,slut_hotel_part_4,5146,slut_hotel_part_3,1322,94,no
1038,slip_and_slide_2,5153,slip_and_slide_3,1277,94,no
1039,danny_vs_life_part_two,5157,danny_vs_life_part_one,1086,91,no
1061,twos_cumpany_threesomes_a_crowd_part_1,5625,twos_cumpany_threesomes_a_crowd_part_2,737,97,no
1062,fluids_on_the_flight,5667,fluids_on_the_flight_2,269,95,no
1063,yoga_freaks_episode_9,5675,yoga_freaks_episode_two,8,91,no
1064,my_husbands_student_part_one,5708,my_husbands_student_part_two,1418,93,no
1065,disciplinary_action_part_one,5717,disciplinary_action_part_two,342,93,no
1066,the_getaway_part_1,5722,the_getaway_part_2,681,94,no
1067,that_fucking_bitch_part_one,5739,that_fucking_bitch_part_two,1482,93,no
1068,preppies_in_pantyhose_part_1,5745,preppies_in_pantyhose_part_3,1663,96,no
1069,preppies_in_pantyhose_part_1,5745,preppies_in_pantyhose_part_2,1673,96,no
1070,preppies_in_pantyhose_part_1,5745,preppies_in_pantyhose_part_4,1677,96,no
1071,bloodthirsty_biker_babes_part_1,5759,bloodthirsty_biker_babes_part_2,669,97,no
1072,bloodthirsty_biker_babes_part_1,5759,bloodthirsty_biker_babes_part_3,670,97,no
1073,nicolette_saves_the_world_part_1,5778,nicolette_saves_the_world_part_2,1377,97,no
1075,adjoined_to_her_pussy_part_1,5882,adjoined_to_her_pussy_part_2,680,96,no
1076,fucking_the_hitchhiker_and_the_jailbird_part_1,5975,fucking_the_hitchhiker_and_the_jailbird_part_2,1606,98,no
1077,sand_and_sweat_part_1,6006,sand_and_sweat_part_2,655,95,no
1078,the_malcontent_mistress_part_1,6045,the_malcontent_mistress_part_2,649,97,no
1079,angelas_house_of_hedonism_part_2,6087,angelas_house_of_hedonism_part_1,1710,97,no
1081,dont_touch_her_7,6139,dont_touch_her,62,93,no
1082,dont_touch_her_7,6139,dont_touch_her,62,93,no
1083,dont_touch_her_7,6139,dont_touch_her_3,730,94,no
1084,dont_touch_her_7,6139,dont_touch_her_6,1654,94,no
1085,milf_witches_part_1,6178,milf_witches_part_2,747,95,no
1086,swing_fling_part_1,6203,swing_fling_part_2,1427,94,no
1088,sneaky_mom,6230,sneaky_mom_1,1183,91,no
1089,sneaky_mom,6230,sneaky_mom_3,1207,91,no
1092,my_sons_best_friends,6233,my_son_s_best_friends,1121,98,no
1100,mommys_best_kept_secrets,6246,mommy_s_best_kept_secrets,1120,98,no
1101,sneaky_mom_3,6248,sneaky_mom_1,1183,92,no
1110,sneaky_mom_2,6264,sneaky_mom_1,1183,92,no
1111,sneaky_mom_2,6264,sneaky_mom_3,1207,92,no
1113,thats_my_bush,6271,that_s_my_bush,1124,96,no
1133,giving_stepmom_what_she_wants,6322,giving_stepmom_want_shes_wants,1181,95,no
1142,mil_friendly_neighborhood,6335,milfriendly_neighborhood,1110,98,no
1158,bet_you_cant_touch_her_boobs,6396,bet_you_can_t_touch_her_boobs,1103,98,no
1160,ill_take_it_thick_creamy,6405,i_ll_take_it_thick_creamy,42,98,no
1165,my_sons_teacher,6420,my_son_s_teacher,1122,97,no
1170,merry_pumpingss_nanny_service,6436,merry_pumpings_nanny_service,1205,98,no
1231,bangin_the_butler,6675,banging_the_butler,1525,97,no
1235,feast_on_this,6696,feat_on_this,1161,96,no
1245,sharing_the_shower,6807,sharing_the_shower_2,1255,95,no
1253,sneaky_slut_needs_to_learn,6835,sneaky_slut_need_to_learn,1243,98,no
1254,i_wont_tell_your_father,6836,i_won_t_tell_your_father,1235,98,no
1261,how_to_masturbate_like_a_porn_star,6868,how_to_maturbate_like_a_pornstar,1253,97,no
1275,take_a_seat_on_my_dick,6921,take_a_seat_on_my_dick_2,1432,96,no
1279,milfs_on_vacation_part_2,6930,milfs_on_vacation_part_1,1002,96,no
1284,milfs_on_vacation_part_1,6937,milfs_on_vacation_part_2,1003,96,no
1294,mommy_issues_part_2,6965,mommy_issues_part_1,1064,95,no
1298,goldmilf_ballsachs_incorporated,6972,goldmilf_and_ballsachs_incorporated,1048,94,no
1301,deep_cover_deeper_throat,6981,big_deep_cover_deeper_throat,1007,92,no
1314,stalking_for_a_cocking,7020,stalking_for_a_cock,1047,93,no
1316,zz_pizza_party_part_1,7028,zz_pizza_party_part_2,89,95,no
1324,the_bigger_the_better,7050,the_bigger_the_wetter,725,95,no
1326,milf_squad_vegas_youre_off_the_case_ferrera,7057,milf_squad_vegas_you_re_off_the_case_ferrera,978,99,no
1329,im_a_giver_and_a_taker,7061,i_m_a_giver_and_a_taker,1051,98,no
1333,honey_its_a_motorbunny,7077,honey_it_s_a_motorbunny,973,98,no
